year,train_rows,test_rows,accuracy,balanced_accuracy,f1,log_loss,brier,ece,roc_auc
2005,191,60,0.65,0.6517857142857143,0.6440677966101694,0.6403715465006996,0.2209398502437412,0.16969452465608073,0.7053571428571428
2006,251,114,0.5789473684210527,0.5880681818181819,0.5932203389830508,0.7422236110010676,0.26296723289121793,0.17200299083289847,0.6275252525252525
2007,365,144,0.6527777777777778,0.6547987616099071,0.6527777777777778,0.615176012413329,0.21171882393121239,0.10969637896022458,0.7455495356037152
2008,509,90,0.7444444444444445,0.7268518518518519,0.7927927927927928,0.47423693221901014,0.1572649063464303,0.10939896744991276,0.8323045267489713
2009,599,111,0.5495495495495496,0.5501623376623377,0.576271186440678,0.697077348356228,0.2502493069931093,0.1416096090614143,0.6198051948051949
2010,710,103,0.7184466019417476,0.7124311565696302,0.7603305785123967,0.5920446127674558,0.19454951938631554,0.1440534351864887,0.7749803304484658
2011,813,131,0.6793893129770993,0.6985645933014355,0.676923076923077,0.5456167073196015,0.18422990270511275,0.11472231015590716,0.807177033492823
2012,944,78,0.6025641025641025,0.5564285714285714,0.6990291262135923,0.6888584731329052,0.2447180841173854,0.15671322123197923,0.5621428571428572
2013,1022,113,0.5486725663716814,0.5457680250783699,0.5984251968503937,0.6853066603770618,0.24745240737854204,0.14342778813149387,0.5962382445141066
2014,1135,101,0.6633663366336634,0.6520882584712372,0.7213114754098361,0.6068504736642915,0.209998508224506,0.05704711754743437,0.7241922773837667
2015,1236,123,0.6666666666666666,0.6496904024767802,0.7421383647798742,0.5737872344289267,0.19994003001202418,0.18235011295283407,0.7374613003095976
2016,1359,78,0.7435897435897436,0.7167755991285403,0.803921568627451,0.5674443905383086,0.19155205736120798,0.13866903404953046,0.7262164124909223
2017,1437,101,0.7029702970297029,0.6992924528301887,0.7321428571428571,0.6131457685257127,0.20897731430509006,0.11330721658613248,0.722877358490566
2018,1538,101,0.7326732673267327,0.729559748427673,0.7567567567567568,0.5258051265082101,0.17681898156780412,0.06541109637671329,0.8160377358490567
2019,1639,123,0.7073170731707317,0.6483516483516484,0.7906976744186046,0.6542744206027873,0.2243601167330092,0.1383709896841458,0.6172161172161172
2020,1762,42,0.6666666666666666,0.6166666666666667,0.7586206896551724,0.6257150987570974,0.21048191115093232,0.2145698272232618,0.65
2021,1804,60,0.6166666666666667,0.6190211345939933,0.6349206349206349,0.6737087350987433,0.234520200942716,0.12046180137057103,0.675194660734149
2022,1864,141,0.6453900709219859,0.6554655870445344,0.6710526315789473,0.6510672177043167,0.23119251897992096,0.13495956512772084,0.6933198380566802
2023,2005,187,0.679144385026738,0.6746222527472527,0.7297297297297297,0.6144908954835279,0.21348185681924428,0.08949457118975422,0.735691391941392
2024,2192,84,0.4642857142857143,0.4951308581862447,0.4578313253012048,0.7532149142812664,0.275263039404594,0.22778047631288303,0.5782105903834449
2025,2276,104,0.625,0.625,0.6608695652173913,0.6439096614744331,0.22588524748122624,0.049773035925240884,0.6945266272189348
2026,2380,60,0.48333333333333334,0.4833333333333333,0.5373134328358209,0.7848354691891116,0.2903191215659839,0.2255082235014148,0.4444444444444445
