model,val_accuracy,val_balanced_accuracy,val_f1,val_log_loss,val_brier,val_ece,val_roc_auc,test_accuracy,test_balanced_accuracy,test_f1,test_log_loss,test_brier,test_ece,test_roc_auc
logistic,0.592896174863388,0.592896174863388,0.592896174863388,0.6738793940447771,0.2397585896414501,0.08661955964584613,0.6438308101167547,0.6174863387978142,0.6174863387978142,0.6174863387978142,0.6632654158472161,0.2344696410065475,0.04695553822272009,0.6534683030248738
random_forest,0.592896174863388,0.592896174863388,0.592896174863388,0.6560173636984756,0.23243539909964606,0.07244851471920143,0.6589850398638359,0.5642076502732241,0.5642076502732241,0.5671641791044776,0.6856406836535511,0.24397560497991713,0.07485607554252499,0.618979366359103
extra_trees,0.605191256830601,0.605191256830601,0.6035665294924554,0.6435295287282655,0.22683514923977505,0.04558967735676403,0.6679954611962138,0.5806010928961749,0.5806010928961749,0.578875171467764,0.6690861479091972,0.23772243290375453,0.03904970464404244,0.6313864253934128
hist_gradient_boosting,0.6161202185792349,0.6161202185792349,0.616643929058663,0.7029188330657437,0.24456838967431238,0.10467341867343284,0.6611872555167367,0.5614754098360656,0.5614754098360655,0.5584594222833562,0.7563552413791806,0.26386132396954975,0.13603038460064093,0.6030487622801517
gradient_boosting,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.6852095737073278,0.24266628157968942,0.08700920849218823,0.6479142404968795,0.5683060109289617,0.5683060109289617,0.5671232876712329,0.6957046328163005,0.24686871049279394,0.09071729209481216,0.6214652572486489
xgboost,0.5997267759562842,0.5997267759562841,0.6035182679296346,0.7078922390937805,0.24879685044288635,0.10598016371492482,0.6432858550568843,0.5601092896174863,0.5601092896174864,0.5648648648648649,0.7281262278556824,0.25666531920433044,0.12232566166852343,0.6084385917764041
lightgbm,0.6092896174863388,0.6092896174863388,0.6124661246612466,0.706369793753976,0.2442348921470542,0.12048591135762282,0.6672862731046014,0.569672131147541,0.569672131147541,0.5667125171939478,0.7927954859956234,0.27095558767802264,0.13804073154183502,0.5976589327838991
catboost,0.6065573770491803,0.6065573770491803,0.6086956521739131,0.6860969393441021,0.2430198799722811,0.09157460149021508,0.6480038221505569,0.575136612021858,0.575136612021858,0.5698478561549101,0.698219026442517,0.24698098834185614,0.09571892395477946,0.6266087371972887
calibrated_ensemble,0.6120218579234973,0.6120218579234973,0.6141304347826086,0.6515502213120984,0.23003824145146223,0.015618159760413997,0.6603063692555764,0.587431693989071,0.587431693989071,0.5863013698630137,0.6686635772020137,0.23802121170288806,0.027294446844034197,0.6233390068380662
