system,status,comparison_type,common_rows,accuracy,balanced_accuracy,f1,log_loss,brier,ece,roc_auc,probability_objective
V1_MODEL_CHAMPION,CHAMPION,exact same 366-match window,366,0.5901639344262295,0.5907334750965887,0.5810055865921788,0.6680320831980425,0.23770609637010198,0.05429774665804824,0.6270029051484021,0.7328883819563728
V2_MODEL_CHALLENGER,REJECTED_MODEL,exact same 366-match window,366,0.6092896174863388,0.6106651891341459,0.6060606060606061,0.6678804861398963,0.2367003589073366,0.06553272656859949,0.6420677468627392,0.7336088485235903
