feature,importance_logloss_increase,importance_std
pp_bowling_wicket_rate_diff,0.00028421696818322256,0.00041313348455874013
squad_batting_sr_diff,0.0002771341402936593,0.0002858434133068832
squad_rookie_load_advantage,1.9799705215743184e-05,4.7784721124716786e-05
middle_bowling_rr_advantage,-0.0002232112382842081,0.0002830198392121398
rest_days_diff,-0.00033719035612478354,4.657150951547335e-05
experience_log_diff,-0.00034918414555151767,0.0008515967821529635
run_rate10_diff,-0.0006474946567108416,7.256074546232357e-05
form20_diff,-0.0006506587665397653,0.00027563305378327846
defend_form_diff,-0.0007143513286864689,7.735583613388766e-06
strength_of_schedule_diff,-0.000822199590088594,4.0012252076293015e-05
death_bowling_wicket_rate_diff,-0.0009021864708652627,6.382837504776956e-05
venue_form_diff,-0.0009385278439770772,4.872834990160816e-05
form5_diff,-0.0009786194459135606,0.00018790717652057744
batting_dot_pct_advantage,-0.00100557124693601,0.00010757439559718072
chase_form_diff,-0.001057187297363001,0.00014516094572144915
knockout_form_diff,-0.0011285550107717295,0.00036465364771671343
squad_bowling_economy_advantage,-0.0011539482531165806,3.0059406146438192e-05
squad_batting_runs_diff,-0.0011955349297905575,0.00020749248890035936
squad_continuity_diff,-0.0011979234637317833,0.001357161142705496
form_ewm_diff,-0.0012618815048080305,0.0002915138253483472
opponent_adjusted_form_diff,-0.0012939390010264045,0.00011877092205200044
bowling_boundary_pct_advantage,-0.001294613453563927,0.00010244040375536406
wickets_lost10_advantage,-0.0013027510836528162,0.0002213368526283135
season_form_diff,-0.001414812726313719,0.00017755994365525679
pp_bowling_rr_advantage,-0.001415089973734222,0.000305296450865268
wickets_taken10_diff,-0.00150252614197736,0.0001389475959256703
h2h_advantage,-0.0015785024270941566,0.0004013449196883301
middle_batting_rr_diff,-0.0016249434821935527,0.00027428886341705473
pp_batting_rr_diff,-0.0016965779430729484,8.96697958713885e-05
squad_bowling_wickets_diff,-0.0017212668339160464,0.00034947720030857886
elo_diff,-0.0018589256995554433,0.00017044971432065212
bowling_dot_pct_diff,-0.001871875625781727,0.0002778345749259435
squad_experience_log_diff,-0.0019202286677511005,0.00016637967347041515
death_acceleration_diff,-0.0019202915315658837,9.963007260527412e-05
death_bowling_rr_advantage,-0.0019272551681769334,0.00020609263058587034
slow_elo_diff,-0.0019354069680249293,9.691629613864267e-05
batting_boundary_pct_diff,-0.0020508474910751287,0.0004217311589017725
middle_bowling_wicket_rate_diff,-0.002240637793683183,0.00010439222299976628
runs10_diff,-0.0022771044549965147,0.00047785286409213993
fast_elo_diff,-0.0024938750962669363,9.463109193121918e-05
death_batting_rr_diff,-0.0025151808862139045,0.0006508360697755757
form10_diff,-0.003013305924871553,0.00016613031505232387
rr_consistency_advantage,-0.0034768611062437893,0.0010723228697584629
score_consistency_advantage,-0.003710479771631007,0.0003697849537580405
venue_experience_log_diff,-0.004422950458221349,0.0002118900744874474
