model,selected_weight,accuracy,balanced_accuracy,f1,log_loss,brier,ece,roc_auc
logistic,0.6182703272580066,0.44366197183098594,0.4378048780487805,0.3779527559055118,0.7359077665234046,0.27066792819537144,0.1610692379731432,0.41361788617886175
random_forest,0.0,0.47183098591549294,0.4666666666666667,0.4094488188976378,0.6994218790040669,0.2531187451803602,0.07815182988970941,0.49186991869918695
extra_trees,0.22099952073031717,0.4859154929577465,0.48109756097560974,0.4251968503937008,0.6986817084051157,0.2526840344521391,0.07893644311314965,0.5103658536585366
hist_gradient_boosting,0.0,0.4788732394366197,0.4772357723577236,0.4307692307692308,0.7051624424840405,0.255863168155861,0.11726268185919805,0.508130081300813
gradient_boosting,0.1607301520116763,0.49295774647887325,0.4894308943089431,0.4375,0.703948669669524,0.25537207298466,0.08152936770278264,0.44959349593495934
xgboost,0.0,0.4647887323943662,0.4650406504065041,0.42424242424242425,0.6959934916492098,0.2515405227026266,0.10765314826243362,0.5152439024390244
lightgbm,0.0,0.5,0.49776422764227646,0.4496124031007752,0.6992248401089604,0.25314300953102803,0.12132167247457527,0.526829268292683
catboost,0.0,0.4788732394366197,0.475,0.421875,0.7042783291001204,0.2555836671604878,0.10568364056984272,0.5014227642276423
calibrated_selected_ensemble_v2,1.0,0.5422535211267606,0.55,0.5255474452554745,0.685847206895017,0.24636225510466153,0.0878613566915955,0.5713414634146342
