year,train_rows,test_rows,accuracy,balanced_accuracy,f1,log_loss,brier,ece,roc_auc
2014,393,59,0.5423728813559322,0.548963133640553,0.5846153846153846,0.715217902436487,0.25938709172924146,0.13931105091845766,0.5668202764976958
2015,452,56,0.6071428571428571,0.5948387096774194,0.6666666666666666,0.6769288092475209,0.24228123184728118,0.06734588965917761,0.5922580645161291
2016,508,60,0.5166666666666667,0.515625,0.49122807017543857,0.6983857485224637,0.2525991837284575,0.04592925756219143,0.5066964285714286
2017,568,58,0.5344827586206896,0.5240384615384616,0.5970149253731343,0.6948824292593548,0.2508334505762555,0.04584361696127075,0.515625
2018,626,60,0.5666666666666667,0.5691964285714286,0.5666666666666667,0.6849487482471918,0.2459064085113299,0.04825142042459086,0.6183035714285714
2019,686,57,0.5263157894736842,0.5467532467532468,0.509090909090909,0.6821104172000002,0.24452954352359382,0.11250021144893252,0.5688311688311688
2020,743,56,0.5,0.49808429118773945,0.46153846153846156,0.6960709328502792,0.25145774329149634,0.031067559554885944,0.5019157088122606
2021,799,59,0.6101694915254238,0.6154791154791155,0.5490196078431373,0.6866090008596284,0.24672725434142737,0.13042792002584958,0.6535626535626535
2022,858,74,0.5135135135135135,0.5135135135135136,0.5,0.6900749890832951,0.24843592635611822,0.02220630364123483,0.5529583637691746
2023,932,73,0.5616438356164384,0.5575757575757576,0.6,0.6929225410731374,0.2498740846489739,0.04441085425918137,0.5386363636363636
2024,1005,71,0.38028169014084506,0.37817460317460316,0.26666666666666666,0.7134232413708597,0.26009264287104444,0.15548669861861028,0.3817460317460317
2025,1076,70,0.4,0.39967239967239965,0.38235294117647056,0.7017545178702832,0.25430195168708875,0.11556710682094792,0.3587223587223587
2026,1146,72,0.5138888888888888,0.4925925925925926,0.38596491228070173,0.6943655208113668,0.25060728714697167,0.12344325309076515,0.49711934156378595
