model,selected_weight,accuracy,balanced_accuracy,f1,log_loss,brier,ece,roc_auc
logistic,0.19270719700196215,0.5140845070422535,0.4920731707317073,0.3783783783783784,0.7210259862962637,0.26314254047814056,0.14946582855803137,0.45670731707317075
random_forest,0.26159185454861883,0.4859154929577465,0.46768292682926826,0.3652173913043478,0.7026850254370545,0.25464766290808255,0.08230874008016767,0.4794715447154472
extra_trees,0.5457009484494191,0.5211267605633803,0.4691056910569106,0.19047619047619047,0.7006714931536823,0.2535689009613152,0.07811864076768223,0.4550813008130081
hist_gradient_boosting,0.0,0.5352112676056338,0.5148373983739838,0.4107142857142857,0.6960646406607718,0.2514561504669093,0.0816987201761701,0.5109756097560976
gradient_boosting,0.0,0.5,0.47764227642276424,0.36036036036036034,0.7044412770550252,0.2555618608991966,0.10876062601893986,0.480691056910569
xgboost,0.0,0.5211267605633803,0.5048780487804878,0.41379310344827586,0.6979136743663811,0.2523927510341731,0.08303374366860992,0.48739837398373986
lightgbm,0.0,0.5211267605633803,0.5026422764227643,0.40350877192982454,0.68875210163587,0.24793056719767628,0.06722939093401073,0.5331300813008131
catboost,0.0,0.5,0.4910569105691057,0.42276422764227645,0.7109543478072292,0.2585994594422855,0.11266744374580001,0.5123983739837399
calibrated_selected_ensemble_v2,1.0,0.4859154929577465,0.5235772357723578,0.5575757575757576,0.7107533516028129,0.25858098886359737,0.12126925456744747,0.5373983739837398
